"序号","模块","题名/资料名","作者/机构","年份","类型","用于课题","状态"
"42","地方资料","《桐乡市志》","地方志编纂委员会","待补","地方志","支撑桐乡蚕桑、丝织、文旅和产业发展背景","待检索"
"43","地方资料","《洲泉镇志》","地方志编纂委员会","待补","地方志","支撑洲泉区域产业、蚕桑传统和马鸣村空间","待检索"
"44","地方资料","马鸣村村志或村史资料","村委/地方档案","待补","地方志/档案","核验村落历史、产业演变和地方记忆","待采集"
"45","地方资料","桐乡蚕桑文化系统农业文化遗产研究","待补作者","待补","学术论文/报告","支撑蚕桑文化系统与乡村资源保护","待检索"
"46","地方资料","桐乡蚕丝被产业发展研究","待补作者","待补","学术论文/行业报告","支撑蚕丝被产业链和品牌传播研究","待检索"
"47","地方资料","洲泉蚕丝被产业集群研究","待补作者","待补","学术论文/行业报告","支撑蚕丝被名镇、产业集群和地方品牌研究","待检索"
"48","地方资料","乡村文化资源调查方法研究","待补作者","待补","学术论文","支撑马鸣村资源清单和田野调查方法","待检索"
"49","地方资料","地方志资料在区域文化研究中的应用","待补作者","待补","学术论文","支撑地方志和口述史结合的方法论","待检索"
"50","地方资料","农业文化遗产视域下蚕桑文化系统保护研究","待补作者","待补","学术论文","支撑蚕桑文化系统保护和文旅转化","待检索"
"51","影像叙事","影像民族志：人类学知识生产过程与实践","雷亮中","2016","学术论文","支撑影像民族志、田野影像和知识生产方法","待核验"
"52","影像叙事","民族志电影的知识生产","待补作者","待补","学术论文","补充影视人类学和地方知识生产层次","待检索"
"53","影像叙事","Visual Anthropology: Photography as a Research Method","John Collier Jr.; Malcolm Collier","1986","英文专著","支撑摄影作为田野研究方法","待核验"
"54","影像叙事","The Ethnographic Eye: Ways of Seeing in Anthropology","Anna Grimshaw","2001","英文专著","支撑影像观看、民族志和视觉方法","待核验"
"55","影像叙事","Visual Methodologies","Gillian Rose","2001/多版","英文专著","支撑视觉材料分析和图像方法","待核验"
"56","影像叙事","Doing Visual Ethnography","Sarah Pink","2001/多版","英文专著","支撑视觉民族志和感官田野研究","待核验"
"57","影像叙事","非遗纪录片影像叙事研究","待补作者","待补","学术论文","支撑蚕桑非遗纪录影像分析","待检索"
"58","影像叙事","乡村短视频传播与地方文化再生产研究","待补作者","待补","学术论文","支撑马鸣村短视频传播路径研究","待检索"
"59","影像叙事","展陈影像与地方文化记忆研究","待补作者","待补","学术论文","支撑蚕桑展示馆和村落展陈影像设计","待检索"
"60","影像叙事","品牌影像叙事与文化产品传播研究","待补作者","待补","学术论文","支撑蚕丝被品牌影像和产品叙事","待检索"
"61","AIGC与数字文化","AIGC视域下的非遗视觉重构——从“形”的模仿到“神”的参数化提取","徐贮琅、蔡青","2026","学术论文","支撑AIGC非遗视觉语义和文化基因提取","待核验"
"62","AIGC与数字文化","AIGC“转译”经典艺术的生成模式与视觉叙事建构","待核验作者","2025","学术论文","支撑AIGC作为文化图像转译器的分析","待核验"
"63","AIGC与数字文化","AIGC驱动下非遗文化的NFT艺术转化与网络营销创新研究","朱然","2025","学术论文","支撑AIGC、非遗、数字资产和网络营销关系","待核验"
"64","AIGC与数字文化","传统文化数字化保护中的真实性问题研究","待补作者","待补","学术论文","支撑AIGC生成中的文化真实性边界","待检索"
"65","AIGC与数字文化","生成式人工智能与文化遗产数字传播研究","待补作者","待补","学术论文","支撑AI时代文化遗产传播机制","待检索"
"66","AIGC与数字文化","人工智能生成图像的审美评价研究","待补作者","待补","学术论文","支撑图像生成评价维度设计","待检索"
"67","AIGC与数字文化","AI艺术中的风格迁移与文化误读研究","待补作者","待补","学术论文","支撑泛古风化、历史错置和符号拼贴分析","待检索"
"68","AIGC与数字文化","数字人文视域下地方文化资源可视化研究","待补作者","待补","学术论文","支撑田野材料数据库和视觉符号库建设","待检索"
"69","AIGC与数字文化","非遗数字化传播中的视觉符号转译研究","待补作者","待补","学术论文","支撑非遗图像生成和传播符号规范","待检索"
"70","AIGC与数字文化","跨文化语境下AI生成中国传统文化图像的误读研究","待补作者","待补","学术论文","支撑海外传播和东方主义化风险分析","待检索"
"71","文旅与产业转化","浙江丝绸文化与旅游融合发展创新路径探索","待核验作者","待补","学术论文","支撑浙江丝绸文化文旅融合路径","待核验"
"72","文旅与产业转化","丝绸之路旅游研究文献综述","待补作者","待补","综述论文","提供丝绸旅游研究的综述参照","待核验"
"73","文旅与产业转化","杭州文旅融合创新路径探究——基于资源与市场的双重视角","吾思怡","2025","学术论文","支撑浙江区域文旅融合和宋韵文化节语境","待核验"
"74","文旅与产业转化","乡村文旅融合与地方品牌塑造研究","待补作者","待补","学术论文","支撑马鸣村文旅传播和地方品牌建构","待检索"
"75","文旅与产业转化","文化产品叙事与消费认同研究","待补作者","待补","学术论文","支撑蚕丝被从功能商品到文化产品转化","待检索"
"76","文旅与产业转化","农文旅融合背景下非遗资源活化研究","待补作者","待补","学术论文","支撑蚕桑非遗、乡村体验和消费转化","待检索"
"77","文旅与产业转化","跨境电商视觉传播与中国品牌出海研究","待补作者","待补","学术论文","支撑蚕丝被海外页面和跨文化视觉传播","待检索"
"78","文旅与产业转化","东方生活美学与当代品牌传播研究","待补作者","待补","学术论文","支撑蚕丝被寝居美学和国际传播表达","待检索"
"79","文旅与产业转化","公共美育视域下地方传统文化转化研究","待补作者","待补","学术论文","支撑宋韵丝绸文化课程、工作坊和展陈转化","待检索"
"80","文旅与产业转化","文化特派员机制下乡村文化资源转化研究","待补作者","待补","学术论文","支撑文化特派员实践、地方服务和成果转化","待检索"
